sjj_Y34D9A_152.d	WBGene00021328(npr-23),Y34D9A.2
sjj_Y55F3A_746.f	WBGene00021921,Y55F3AM.3
cenix:305-d5	WBGene00020050,R13A5.7
cenix:165-e4	WBGene00015856,C16C8.19
sjj_F38A5.8	WBGene00018165,F38A5.8
mv_Y116F11B.b	WBGene00000920(daf-28),Y116F11B.1
sjj_C54D1.3	WBGene00002163(ist-1),C54D1.3
cenix:178-g7	WBGene00013435,Y66D12A.9
cenix:55-c12	WBGene00010199(bet-2),F57C7.1
mv_H43E16.1	WBGene00019273,H43E16.1
mv_ZK1037.1	WBGene00014190(irld-62),ZK1037.1
cenix:91-a6	WBGene00013601,Y87G2A.13
sjj_F33G12.3	WBGene00018015,F33G12.3
sjj_Y49E10.23	WBGene00013042(cccp-1),Y49E10.23
mv_Y48C3A.8	WBGene00012990(sam-10),Y48C3A.8
mv_C52B11.3	WBGene00016872(dop-4),C52B11.3
sjj_C16A3.3	WBGene00002850(let-716),C16A3.3
cenix:184-c4	WBGene00009457,F36A2.10
cenix:158-h3	WBGene00016032,C24A3.1
mv_Y19D10A.m_1	WBGene00015272,C01B4.8
mv_AAC47278	WBGene00014150,ZK909.6
sjj_C05B5.7	WBGene00004344(rgs-1),C05B5.7
cenix:51-e4	WBGene00017674,F21F3.4
sjj_M28.2	WBGene00010894,M28.2
smd_W01B6.6	WBGene00012173,W01B6.6
cenix:144-c9	WBGene00022010(catp-7),Y59H11AR.2
mv_T22B3.2a	WBGene00011910(alg-3),T22B3.2
cenix:301-h6	WBGene00001661(gop-2),C34E10.2
sjj_T02H7.10_1	WBGene00001492(frm-5.1),Y38C1AB.8
mv_W08A12.2	WBGene00021079,W08A12.2
cenix:83-h4	WBGene00016492,C37A2.6
mv_B0303.15	WBGene00015133(mrpl-11),B0303.15
mv_F56A4.2	WBGene00018910,F56A4.2
sjj2_F59G1.4	WBGene00019128,F59G1.4
sjj_T01D1.2	WBGene00001340(etr-1),T01D1.2
sjj2_H12I19.8	WBGene00010395,H12I19.8
mv_VT23B5.1	WBGene00007752(wdfy-3),C26H9A.2
cenix:25-b3	WBGene00006437(mrck-1),K08B12.5
mv_Y39C12A.5	WBGene00012707(sre-16),Y39C12A.5
cenix:145-e1	WBGene00022156,Y71G12B.18
mv_C25H3.8	WBGene00016117,C25H3.8
sjj_T23G11.4	WBGene00011969,T23G11.4
cenix:144-h4	WBGene00000227(atm-1),Y48G1BL.2
sjj_Y38C1AB.h_1	WBGene00001492(frm-5.1),Y38C1AB.8
sjj_F52C12.4	WBGene00018681(denn-4),F52C12.4
sjj_F26D10.5	WBGene00044067(hke-4.1),T28F3.3
TH:300C5	WBGene00018802,F54D8.6
mv_M04C9.1	WBGene00010856,M04C9.1
cenix:54-b6	WBGene00022199(pfk-1.1),Y71H10A.1
sjj2_Y75B12B.3	WBGene00013568,Y75B12B.3
mv_K02F2.b	WBGene00004778(ser-3),K02F2.6
mv_R07B7.10	WBGene00011094,R07B7.10
sjj_Y102A5C.32	WBGene00005581(sri-69),Y102A5C.32
cenix:170-d4	WBGene00003258(cogc-1),Y54E10A.2
smd_F07E5.8	WBGene00017213,F07E5.8
cenix:335-g5	WBGene00004212(ptl-1),F42G9.9
cenix:91-c3	WBGene00013761,Y113G7B.11
cenix:329-e8	WBGene00015520(fip-3),C06E1.5
sjj_F18C5.3	WBGene00007050(utp-20),F18C5.3
mv_T12G3.4	WBGene00011739,T12G3.4
cenix:123-d1	WBGene00015309,C01G5.7
sjj_F25E5.7	WBGene00017788,F25E5.7
sjj_ZC581.4	WBGene00017063(mctp-1),D2092.1
cenix:235-b8	WBGene00021096,W08F4.7
cenix:28-b5	WBGene00003174(mec-10),F16F9.5
cenix:99-b6	WBGene00012981,Y48B6A.10
mv_F26D12.b	WBGene00001439(fkh-7),F26D12.1
sjj_F11G11.2	WBGene00001755(gst-7),F11G11.2
sjj2_M151.4	WBGene00019796,M151.4
mv_F40F12.4	WBGene00009593(mam-7),F40F12.4
cenix:206-c5	WBGene00019118,F59E12.1
cenix:43-a8	WBGene00017783,F25E5.2
sjj_K11C4.2	WBGene00019643,K11C4.2
sjj_E01G4.2	WBGene00004116(pqn-27),E01G4.4
cenix:138-f3	WBGene00001599(glh-2),C55B7.1
mv_D2085.7	WBGene00008432,D2085.7
cenix:341-h3	WBGene00004472(rps-3),C23G10.3
mv_F46B3.15	WBGene00009766,F46B3.15
sjj_R13H4.2	WBGene00011261(nphp-4),R13H4.1	WBGene00014826,R13H4.2
mv_B0361.7	WBGene00015161(pho-5),B0361.7
sjj_F44B9.5	WBGene00018408,F44B9.5
TH:307F3	WBGene00016137,C26E6.1
sjj_K03H1.5	WBGene00010540,K03H1.5
cenix:13-h9	WBGene00017226(fbxa-53),F07G6.7
sjj_ZK262.2	WBGene00013949,ZK262.2
TH:301F11	WBGene00020209,T04C9.1
mv_D2013.2	WBGene00008402(wdfy-2),D2013.2
sjj_C27A2.5	WBGene00016153,C27A2.5
cenix:64-a8	WBGene00008159,C47F8.3
cenix:71-d5	WBGene00002077(imb-3),C53D5.6
cenix:103-f4	WBGene00002220(gcc-1),C15C7.2
mv_F58E1.3	WBGene00019035(fbxb-26),F58E1.3
sjj_C47E12.7	WBGene00008151,C47E12.7
sjj2_W05G11.6a.1	WBGene00021043(pck-1),W05G11.6
mv_T17A3.8	WBGene00269434(sqst-5),T17A3.13
sjj_H02I12.1	WBGene00010351(cbd-1),H02I12.1
cenix:15-b8	WBGene00012134,T28F3.8
sjj_C08A9.8	WBGene00015588,C08A9.8
cenix:56-a10	WBGene00001623(glt-5),Y53C12A.2
cenix:161-b6	WBGene00005913(srx-22),F31F4.3
mv_F10G8.1_1	WBGene00016942,C55B7.3
sjj_Y116F11A.bb	WBGene00012820,Y43F8B.10
mv_F48G7.8	WBGene00018619,F48G7.8
sjj_T21C9.2	WBGene00006934(vps-54),T21C9.2
cenix:88-d12	WBGene00005934(srx-43),T10C6.3
cenix:328-b5	WBGene00020451(fbxa-11),T12B5.4
sjj_C37H5.13	WBGene00016511,C37H5.13
cenix:334-h4	WBGene00011807,T16G12.6
sjj_C06H2.1	WBGene00007385(atp-5),C06H2.1
cenix:39-c7	WBGene00006342(sup-37),C01B7.1
sjj_ZC116.2	WBGene00013854(cyc-2.2),ZC116.2	WBGene00013855,ZC116.3
cenix:123-e8	WBGene00019352,K03A1.4
smd_ZK973.g_1	WBGene00000140(anc-1),ZK973.6
sjj_T20B12.3	WBGene00020601,T20B12.3
sjj_D1014.2	WBGene00017015,D1014.2
sjj_C10C5.5	WBGene00007509,C10C5.5
mv_F55C10.1	WBGene00000554(cnb-1),F55C10.1
sjj2_C33H5.2	WBGene00016371,C33H5.2
cenix:125-b9	WBGene00007488(dph-2),C09G5.2
cenix:17-e2	WBGene00008590,F08H9.2
sjj_T27A8.3_1	WBGene00009960,F53B6.5
sjj_C56E6.4	WBGene00016972,C56E6.4
mv_F14F7.4	WBGene00008811,F14F7.4
sjj_T08A9.9	WBGene00004990(spp-5),T08A9.9	WBGene00044442,T08A9.13
cenix:19-g6	WBGene00007230,C01G10.1
mv_C45G9.1	WBGene00016673,C45G9.1
mv_K11G12.1	WBGene00003530(nas-11),K11G12.1
mv_F32B6.4	WBGene00009321,F32B6.4
mv_F52B5.4	WBGene00000467(cep-1),F52B5.5
sjj_K07A1.8	WBGene00002070(ile-1),K07A1.8
cenix:160-a12	WBGene00006075(str-7),F22B8.5
sjj_T20B3.7	WBGene00004026(phy-3),T20B3.7
sjj_T06G6.7	WBGene00005835(srw-88),T06G6.7
cenix:117-b4	WBGene00015665,C10A4.4
sjj_B0524.4	WBGene00015243,B0524.4
mv_ZK6.2	WBGene00022637(nhr-252),ZK6.2
cenix:105-c3	WBGene00002210(kin-29),F58H12.1
mv_Y46H3D.4	WBGene00021609(irld-17),Y46H3D.4
mv_W05H5.5	WBGene00012286(sre-35),W05H5.5
mv_K02C4.4	WBGene00003089(ltd-1),K02C4.4
mv_D2045.7	WBGene00008424,D2045.7
sjj2_B0303.2	WBGene00015124(anmt-1),B0303.2
sjj_F56B3.8	WBGene00018932(mrpl-2),F56B3.8
cenix:146-d2_1	WBGene00017472(cst-1),F14H12.4
sjj_T02B11.2	WBGene00044777,T02B11.9
cenix:53-c10	WBGene00000484(che-2),F38G1.1
cenix:177-a2	WBGene00012148(inos-1),VF13D12L.1
sjj_K08H10.2	WBGene00002263(lea-1),K08H10.1
cenix:164-e3	WBGene00019660,K11H12.4
cenix:229-g9	WBGene00021686,Y48G8AL.5
mv_F28A10.8	WBGene00017876,F28A10.8
cenix:24-f5	WBGene00009489,F36G9.13
sjj_Y73C8C.2	WBGene00022261(clec-210),Y73C8C.2
mv_ZC434.9	WBGene00013895,ZC434.9
sjj_T19B4.5	WBGene00020558,T19B4.5
cenix:182-d4	WBGene00016503,C37C3.11
sjj_C47A10.2	WBGene00005488(srh-283),C47A10.2
cenix:190-c1	WBGene00013076,Y51A2D.8
cenix:149-d9	WBGene00020697,T22F3.7
sjj_F44C4.4	WBGene00002148(gon-14),F44C4.4
cenix:213-g5	WBGene00012267,W04G5.7
cenix:51-f7	WBGene00018399,F43H9.3
mv_W04G3.3	WBGene00012257(lpr-4),W04G3.3
cenix:48-d10	WBGene00015214(srtx-1),B0496.5
sjj2_AH10.1	WBGene00007082(acs-10),AH10.1
mv_H23N18.4	WBGene00019235,H23N18.4
mv_K02E2.1	WBGene00010506,K02E2.1
cenix:221-d8	WBGene00016649(fbxc-1),C44C8.4
mv_F55A8.1	WBGene00001186(egl-18),F55A8.1
mv_C06E4.5	WBGene00015534,C06E4.5
mv_T23B3.1	WBGene00020709,T23B3.1
mv_T07G12.3	WBGene00011594,T07G12.3
mv_K10D6.2b	WBGene00010742,K10D6.2
cenix:204-a5	WBGene00008819(shw-1),F14F11.1
mv_Y40B10A.e	WBGene00021491(comt-4),Y40B10A.6
sjj_ZC416.4	WBGene00002188(kgb-2),ZC416.4
sjj_B0041.2	WBGene00015007(ain-2),B0041.2
mv_ZK180.2	WBGene00022675(gbb-2),ZK180.1
mv_G_YK2067	WBGene00021721,Y49F6B.9
cenix:48-c3	WBGene00013323,Y57G11C.33	WBGene00013326(anoh-2),Y57G11C.37
mv_F30B5.4	WBGene00017934,F30B5.4
cenix:69-d9	WBGene00000222(atf-6),F45E6.2
smd_F49B2.3	WBGene00009863,F49B2.3
mv_K08E4.6	WBGene00010670,K08E4.6
sjj_F56A4.e_1	WBGene00006200(str-154),Y45G12C.12	WBGene00021566,Y45G12C.3
mv_C02G6.1	WBGene00015359,C02G6.1
cenix:41-f3	WBGene00018681(denn-4),F52C12.4
mv_B0334.5	WBGene00007145,B0334.5	WBGene00195248(emc-5),B0334.15
cenix:153-f1	WBGene00013182,Y53H1B.4
cenix:140-b9	WBGene00011029(abhd-11.2),R05D7.4
sjj2_F25E5.13	WBGene00005313(srh-92),F25E5.13
mv_F57G9.4	WBGene00010220(sre-29),F57G9.4
cenix:220-f12_5	WBGene00009638(nspc-14),F42F12.7
cenix:169-a5	WBGene00195003,Y46C8AL.11
cenix:321-d4	WBGene00003225(mev-1),T07C4.7	WBGene00011563(jmjd-4),T07C4.11
cenix:170-d12	WBGene00013405(tdpt-1),Y63D3A.4
sjj2_T23D8.4.1	WBGene00001226(eif-3.C),T23D8.4
cenix:93-e10	WBGene00008413,D2030.3
sjj_F22F1.3	WBGene00017715,F22F1.3
mv_K03H6.4	WBGene00019369,K03H6.4	WBGene00044719(clec-172),K03H6.7
mv_T23C6.2	WBGene00020726,T23C6.4
cenix:153-a9	WBGene00022083,Y69A2AR.12
sjj_Y66H1B.1	WBGene00017576(cdh-8),F18F11.3
mv_H12I19.5a	WBGene00010392(oac-38),H12I19.5
cenix:307-e3	WBGene00016138(flh-2),C26E6.2
cenix:203-c6	WBGene00000286(cal-2),C18E9.1
cenix:209-c12	WBGene00007915,C34C6.2
cenix:18-g6	WBGene00004416(rpl-5),F54C9.5
mv_Y58G8A.3	WBGene00021983(npr-5),Y58G8A.4
mv_C24B9.1	WBGene00006099(str-33),C24B9.1
sjj_F49H12.b	WBGene00018657(acl-4),F49H12.6
mv_Y116A8C.25	WBGene00013802,Y116A8C.25
cenix:231-c6	WBGene00018781,F54A3.2
sjj_F25D7.4	WBGene00009113(maph-1.2),F25D7.4
sjj_C15H9.4	WBGene00015800,C15H9.4
cenix:175-a11	WBGene00010623,K07A12.5
cenix:161-g2	WBGene00009176(nmat-2),F26H9.4
TH:195-a12_1	WBGene00001967(hlh-28),F31A3.2
mv_C15A7.2	WBGene00007595,C15A7.2
mv_Y49F6B.10	WBGene00000647(col-71),Y49F6B.10
cenix:123-b1	WBGene00016893,C53B7.2
mv_F14D2.f	WBGene00017462,F14D2.14
mv_ZK185.1	WBGene00022681,ZK185.1
mv_F52G2.1b	WBGene00003582(dcap-2),F52G2.1
cenix:177-h12	WBGene00021741,Y50D4B.2
mv_ZC266.2	WBGene00022584,ZC266.1
mv_C08H9.5	WBGene00003862(old-1),C08H9.5
cenix:30-a7	WBGene00007693,C23H4.4
sjj_C02B8.7	WBGene00015325,C02B8.7
sjj_Y18D10A.8	WBGene00012478(mxt-1),Y18D10A.8
mv_F49C12.3	WBGene00009873,F49C12.3
mv_F09E5.8	WBGene00017286,F09E5.8
smd_T16D1.1_4	WBGene00020539,T16D1.1
mv_T28A11.21	WBGene00020883(fbxa-64),T28A11.21
mv_C35D10.1	WBGene00000204(arx-6),C35D10.16	WBGene00016439,C35D10.1
cenix:170-e12	WBGene00006565(tfg-1),Y63D3A.5
mv_F44E7.5	WBGene00018427,F44E7.5
sjj_ZC64.4	WBGene00002987(lim-4),ZC64.4
sjj_K04G11.3	WBGene00010571,K04G11.3
mv_F44F4.1	WBGene00009700(lurp-1),F44F4.1
sjj_Y46H3C.g	WBGene00005846(srw-99),Y46H3C.2	WBGene00005847(srw-100),Y46H3C.1
sjj_F08G12.2	WBGene00002124(inx-2),F08G12.10
mv_Y57G11C.14	WBGene00013310,Y57G11C.14
cenix:200-g8	WBGene00011348,T01H3.2
sjj2_Y37E3.10.1	WBGene00021351,Y37E3.10
sjj_C08E3.9	WBGene00015601(fbxa-166),C08E3.9
mv_Y60A3A.12	WBGene00000499(chk-2),Y60A3A.12
mv_C39E9.4	WBGene00008028(scl-6),C39E9.4
sjj_C03C10.3	WBGene00004392(rnr-2),C03C10.3
mv_C16C10.10	WBGene00006448(glod-4),C16C10.10
cenix:229-e8	WBGene00021549,Y44E3A.4
sjj_F19B10.2	WBGene00017584,F19B10.2
mv_F29F11.2	WBGene00009255(ugt-34),F29F11.2	WBGene00044286(ugt-35),C32C4.7
smd_F27D4.5	WBGene00006518(tag-173),F27D4.5
cenix:185-h8	WBGene00010330,F59D12.2
cenix:172-g4	WBGene00013928(clec-94),ZK39.3
mv_T06E6.1	WBGene00011538,T06E6.1
mv_F55D12.1	WBGene00010110,F55D12.1
sjj_ZK177.6	WBGene00001511(fzy-1),ZK177.6
cenix:15-a8	WBGene00001041(dnj-23),T24H10.3
sjj_ZK697.4	WBGene00005539(sri-27),ZK697.4
cenix:305-c1	WBGene00015102(cpg-2),B0280.5
cenix:98-g8	WBGene00012265,W04G5.4
cenix:232-a8	WBGene00012558,Y37D8A.21
mv_Y69H2.6	WBGene00006714(ubc-19),Y69H2.6
TH:328F3	WBGene00018989,F56F11.2
mv_Y53F4B.26_5	WBGene00013154,Y53F4B.7
sjj_F52E10.3	WBGene00009934,F52E10.3
cenix:189-c9	WBGene00021612,Y46H3D.8
mv_C15B12.4	WBGene00015786,C15B12.4
sjj_C53D5.g	WBGene00016903(marc-4),C53D5.2
sjj2_ZK652.9	WBGene00000765(coq-5),ZK652.9
sjj_C56A3.2	WBGene00008341(ttr-44),C56A3.2	WBGene00044045,R11G10.3
cenix:132-g6	WBGene00009890(scl-9),F49E11.4
cenix:192-e12_1	WBGene00000638(col-62),C15A11.6
mv_F13G11.1b	WBGene00007058(dmd-6),F13G11.1
cenix:304-e3	WBGene00022696,ZK328.7
sjj2_C49H3.9	WBGene00016794,C49H3.9
mv_D2021.4	WBGene00017048,D2021.4
cenix:177-c8	WBGene00012635,Y38H8A.1
sjj_T23F6.5	WBGene00011952,T23F6.5
mv_G_YK5194	WBGene00013361(fars-2),Y60A3A.13	WBGene00013829,Y116F11B.14
sjj_Y53F4A.c	WBGene00011044,R05H10.3
mv_C09F9.5a_1	WBGene00007480(glna-1),C09F9.3
cenix:323-e1	WBGene00002105(ins-22),M04D8.2
mv_C39F7.5	WBGene00016540,C39F7.5
cenix:203-a10	WBGene00016245,C30B5.4
cenix:130-h6	WBGene00016024(glb-7),C23H5.2
sjj_F40F4.3	WBGene00002253(lbp-1),F40F4.3
mv_ZK430.8	WBGene00022743(mlt-7),ZK430.8
cenix:36-d5	WBGene00001089(dre-1),K04A8.6
TH:331a9	WBGene00004919(snr-6),Y49E10.15
sjj_T06E4.5	WBGene00011533,T06E4.5
sjj_C25E10.1	WBGene00016091(nhr-30),C25E10.1
cenix:147-c2	WBGene00017434,F13H8.1
mv_ZC487.3	WBGene00022625,ZC487.3
cenix:143-g1	WBGene00000868(cyb-3),T06E6.2
mv_F54E4.3	WBGene00010059,F54E4.3
sjj2_C25G4.11	WBGene00007736(igdb-2),C25G4.10
cenix:221-h2	WBGene00009756,F46B3.1
TH:223-b11_3	WBGene00021607,Y46H3C.7
cenix:40-f9	WBGene00017642,F20D12.2
TH:325B3	WBGene00012644(rabx-5),Y39A1A.5
mv_F08G5.5	WBGene00008583(ugt-65),F08G5.5	WBGene00023502(clec-184),F08G5.7
sjj_F15B9.2	WBGene00001388(far-4),F15B9.2
mv_K09H9.6	WBGene00003062(lpd-6),K09H9.6
cenix:59-f1	WBGene00000490(che-11),C27A7.4
cenix:205-d6	WBGene00019018(abts-3),F57F10.1
cenix:228-b9	WBGene00020490(tmc-1),T13G4.3
cenix:77-a7	WBGene00007646(nkb-1),C17E4.9
sjj_C11H1.6	WBGene00004191(prx-1),C11H1.4
cenix:310-c7	WBGene00015469,C05D2.8
sjj_F08F3.2	WBGene00017261(acl-6),F08F3.2
mv_Y55B1BR.1	WBGene00021911,Y55B1BR.1
cenix:64-h7	WBGene00016710(fbxc-52),C46E10.4
cenix:17-b1	WBGene00011195(sao-1),R10D12.14
cenix:55-g10	WBGene00003970(pek-1),F46C3.1
cenix:219-a1	WBGene00002233(kqt-1),C25B8.1
mv_T11G6.3	WBGene00011718,T11G6.3
mv_Y65B4A_179.b	WBGene00022025,Y65B4A.1	WBGene00022026,Y65B4A.2
cenix:157-g5	WBGene00015459,C04G6.11
cenix:33-f11	WBGene00007553,C13G3.1
TH:331C2	WBGene00016681,C45G9.10
cenix:142-f7	WBGene00022393(abhd-12),Y97E10AL.2
cenix:228-c12	WBGene00013670(hpo-13),Y105E8A.10
TH:224-c3_1	WBGene00007870,C32H11.7
sjj_F10C2.7	WBGene00008647,F10C2.7
cenix:113-c12	WBGene00009633,F42E11.3
mv_T07G12.11	WBGene00011601(zim-3),T07G12.11
sjj2_Y46E12BL.1	WBGene00021594(tig-3),Y46E12BL.1
mv_Y59A8B.j	WBGene00013352(lon-8),Y59A8B.20
mv_T28A11.16	WBGene00020878,T28A11.16
cenix:159-d8	WBGene00004704(rsp-7),D2089.1	WBGene00008433(marc-2),D2089.2
TH:335B4_4	WBGene00012552(enu-3.5),Y37D8A.12
sjj_F39G3.8	WBGene00006570(tig-2),F39G3.8
sjj_C30B5.6	WBGene00016247,C30B5.6
mv_ZK938.2	WBGene00014159(arrd-4),ZK938.2
sjj_T26H2.7	WBGene00012068(oac-49),T26H2.7
sjj_Y48B6A.8	WBGene00000037(ace-3),Y48B6A.8
sjj_T26E4.2	WBGene00012044,T26E4.2
cenix:76-d1	WBGene00007047(wts-1),T20F10.1
smd_M142.1	WBGene00006843(unc-119),M142.1
sjj_F21C3.2	WBGene00009001(tyr-3),F21C3.2
mv_ZK616.e	WBGene00022776(perm-3),ZK616.6
mv_Y54E2A.11	WBGene00001225(eif-3.B),Y54E2A.11
cenix:165-h10	WBGene00017038(dmsr-4),D1069.4
sjj_T06D4.5	WBGene00017554(nep-9),F18A12.5	WBGene00020293(nep-20),T06D4.4
mv_AAC47514	WBGene00004723(sap-49),C08B11.5
mv_F10D2.1	WBGene00006237(str-204),F10D2.1
mv_F52C12.5	WBGene00001253(elt-6),F52C12.5
sjj_Y63D3A.6a	WBGene00001047(dnj-29),Y63D3A.6
mv_Y47G6A.23	WBGene00003060(lpd-3),Y47G6A.23
mv_R119.3	WBGene00020089,R119.3
mv_F41B4.1	WBGene00018257,F41B4.1
cenix:326-b5	WBGene00014218,ZK1098.1	WBGene00014224(mrps-23),ZK1098.7
TH:328E11	WBGene00021439(ckr-2),Y39A3B.5
sjj_K06A1.3	WBGene00019426(cutl-16),K06A1.3
sjj_T22B2.5	WBGene00020669,T22B2.5
cenix:204-f12	WBGene00004017(phg-1),F27E5.4
