WBGene00009820	F47B10.9	transgene subcellular localization variant, RAB-11 recycling endosome localization variant
WBGene00014949	Y75B12A.1	germ cell partition morphology variant, nuclear fallout, sterile, rachis wide, oocyte number decreased, nuclei small, germ cell compartment morphology variant, centrosome attachment defective early emb, apoptosis variant, maternal sterile, oogenesis variant, germ cell compartment size variant, rachis morphology variant, accumulated germline cell corpses, germ cell mitosis variant, germline nuclear positioning variant, larval arrest, embryonic lethal, meiotic progression prophase variant, germ cell compartment expansion variant
WBGene00004951	K10B3.10	locomotion variant, early larval lethal, larval lethal, mitosis variant, organism morphology variant, aldicarb resistant, larval arrest, embryonic lethal, dumpy
WBGene00000653	M195.1	synapse density variant, motor neuron morphology variant, rays displaced, transgene subcellular localization variant
WBGene00043992	F58A4.14	embryonic lethal, sister chromatid segregation defective early emb
WBGene00007574	C14B1.3	organism development variant
WBGene00001574	W10D5.3	protruding vulva, slow growth, small, organism morphology variant, pharyngeal development variant, protein aggregation variant, sister cell division timing asynchrony reduced, larval arrest, embryonic lethal, transgene expression reduced, dumpy, pathogen induced gene expression variant, transgene expression increased
WBGene00009448	F35H8.3	sterile, transgene induced cosuppression variant, sick, growth rate variant, larval arrest, embryonic lethal, reduced brood size, exploded through vulva
WBGene00020784	T24H7.5	protruding vulva, sterile, pore forming toxin hypersensitive, larval lethal, sick, small, lethal, Bacillus thuringiensis toxin hypersensitive, larval arrest, morphology variant, development variant, accumulated cell corpses
WBGene00018898	F55F10.1	organism hypersensitive ionizing radiation, slow growth, dauer lifespan extended, sterile progeny, clear, late larval arrest, gonad development variant, larval arrest, foraging behavior variant, patchy coloration, dead eggs laid, receptor mediated endocytosis defective, pattern of transgene expression variant, distal tip cell migration variant
WBGene00017776	F25B5.5	dauer lifespan extended
WBGene00017678	F21F8.4	locomotion variant, cell death variant, transgene subcellular localization variant, protein aggregation variant
WBGene00022431	Y108F1.3	sterile, avoids bacterial lawn, slow growth, RNAi resistant, protein aggregation variant, larval arrest, embryonic lethal, transgene subcellular localization variant, transgene expression increased, somatic transgene silencing variant
WBGene00003404	C52A11.4	egg laying serotonin resistant
WBGene00016291	C31H1.8	sterile, oocyte accumulation, feminization of germline, diakinesis progression during oogenesis variant, oocyte septum formation variant, cell membrane organization biogenesis variant, embryonic lethal, embryo osmotic integrity defective early emb, germ cell compartment large, oocyte morphology variant, germ cell compartment multinucleate, oocytes small, germ cell compartment expansion variant, multiple nuclei oocyte
WBGene00000561	C34E10.7	egg laying variant, axon fasciculation variant, cord commissures fail to reach target
WBGene00022441	Y110A2AL.4	slow growth, dauer lifespan extended
WBGene00006561	Y38C1AA.4	protruding vulva, amphid phasmid morphology variant
WBGene00044440	Y73E7A.9	fat content increased
WBGene00019778	M57.2	locomotion variant, lysosome-related organelle morphology variant, larval lethal, slow growth, RAB-11 recycling endosome morphology variant, clear, fat content reduced, larval arrest, embryonic lethal, cell death variant, transgene subcellular localization variant, age associated fluorescence increased, shortened life span, exploded through vulva, transgene expression increased
WBGene00003214	C05D11.11	embryonic lethal
WBGene00018623	F48G7.12	dauer lifespan extended
WBGene00006919	F46F11.5	sterile, chromosome condensation variant, pattern of transgene expression variant, maternal sterile, lysosome-related organelle morphology variant, larval lethal, terminal arrest variable, accumulated germline cell corpses, organism toxic chemical response variant, neuron degeneration variant, germline nuclear positioning variant, diplotene progression during oogenesis variant, cell membrane organization biogenesis variant, embryonic lethal, transgene subcellular localization variant, oocyte morphology variant, necrotic cell death variant, receptor mediated endocytosis defective, nuclear appearance variant, oocytes lack nucleus, RAB-11 recycling endosome localization variant, embryonic terminal arrest variable emb, diakinesis progression during oogenesis variant, embryo osmotic integrity defective early emb, rachis narrow, apoptosis variant, rachis morphology variant, germ cell compartment size variant, RAB-11 recycling endosome morphology variant, oocyte septum formation variant, germ cell compartment anucleate, nuclei enlarged, germ cell compartment expansion variant
WBGene00012757	Y41C4A.11	organism pathogen response variant
WBGene00002114	T10D4.4	Bacillus thuringiensis toxin hypersensitive, pore forming toxin hypersensitive, aldicarb resistant
WBGene00000391	C47D2.2	egg shape variable
WBGene00009654	F43D9.3	nuclear fallout, sterile, apoptosis reduced, gonad small, germ cell compartment morphology variant, rachis narrow, chromosome condensation variant, apoptosis variant, cytoplasmic processing body variant, maternal sterile, pattern of transgene expression variant, diplotene region organization variant, germ cell compartment size variant, sick, molt defect, accumulated germline cell corpses, protein aggregation variant, germline nuclear positioning variant, oocyte septum formation variant, cell membrane organization biogenesis variant, transgene expression reduced, transgene subcellular localization variant, oocyte morphology variant, receptor mediated endocytosis defective, nuclear appearance variant, germ cell compartment expansion variant
WBGene00011212	R10E8.6	embryonic lethal
WBGene00011405	T04A8.3	organism development variant
WBGene00017944	F31D5.1	plugged excretory pore
WBGene00011382	T02E9.3	reduced brood size, sterile progeny, maternal sterile, pharyngeal pumping reduced, male tail curling serotonin resistant
WBGene00001368	F35H8.5	excretory canal short, excess intestinal cells, cell proliferation increased
WBGene00006994	F22B5.7	spindle orientation variant, spindle position orientation defective early emb, organism morphology variant, pronuclear breakdown asynchronous early emb, microtubule polymerization variant, organism development variant, protein subcellular localization variant, mitotic spindle defective early emb, centrosome pair and associated pronuclear rotation variant, pronuclear migration defective early emb, cell division variant, embryonic polarity variant, spindle orientation defective early emb, protruding vulva, microtubule organization biogenesis variant, lethal, spindle assembly defective early emb, egg laying variant, cleavage furrow termination defective early emb, embryonic lethal, ectopic cleavage furrows early emb, transgene subcellular localization variant, pronuclear migration failure early emb
WBGene00007836	C31C9.2	embryonic lethal, slow growth
WBGene00003799	Y37E3.15	early embryonic lethal, protruding vulva, sick, slow growth, pronuclear nuclear appearance defective early emb, nuclear pore variant, sterile progeny, protein subcellular localization variant, larval arrest, embryonic lethal, nuclear morphology variation early emb, chromosome condensation variant
WBGene00016393	C34B2.8	slow development, sterile, avoids bacterial lawn, slow growth, slow embryonic development, larval arrest, embryonic lethal, foraging behavior variant, variable cell division timing
WBGene00019881	R05D3.8	egg laying defective, sterile, locomotion variant, sterile progeny, population fitness variant, apoptosis increased, foraging behavior variant, everted vulva, apoptosis variant, protruding vulva, slow growth, larval lethal, L1 arrest, protein aggregation variant, lethal, larval arrest, embryonic lethal, transgene subcellular localization variant, exploded through vulva, reduced brood size
WBGene00016063	C24G7.1	ventral cord patterning variant, axon midline crossing variant, axon fasciculation variant, cord commissures fail to reach target
WBGene00006589	T08B1.2	spontaneous spicule protraction, early larval arrest
WBGene00006367	ZK1067.6	embryonic lethal, transgene expression increased
WBGene00014185	ZK1025.5	biofilm absent head, bleach hypersensitive
WBGene00006698	Y116A8C.35	germ cell partition morphology variant, sterile, locomotion variant, avoids bacterial lawn, cell proliferation increased, clear, excess intestinal cells, rachis narrow, chromosome condensation variant, pachytene region organization variant, maternal sterile, mRNA export variant, protruding vulva, rachis morphology variant, slow growth, sick, molt defect, protein aggregation variant, diplotene progression during oogenesis variant, embryonic arrest, larval arrest, embryonic lethal, gonad vesiculated, transgene subcellular localization variant, oocyte morphology variant, oocytes small, nuclear appearance variant, transgene expression increased, germ cell compartment expansion variant
WBGene00014165	ZK945.3	egg laying variant, sterile, embryonic lethal, early larval arrest, passage through meiosis defective early emb
WBGene00001694	F41E6.2	alae secretion variant, body vacuole, locomotion variant, embryonic lethal, intestinal vacuole, molt defect, small, multiple alae
WBGene00003790	Y54E5A.4	sterile, protruding vulva, slow growth, pronuclear nuclear appearance defective early emb, sterile progeny, embryonic lethal, transgene subcellular localization variant, nuclear morphology variation early emb, transposon silencing variant, cytoplasmic processing body variant, receptor mediated endocytosis defective, reduced brood size, pattern of transgene expression variant, transgene expression increased
WBGene00045387	K09H9.8	transgene expression reduced
WBGene00001857	F59A7.4	larval arrest, embryonic lethal, sick, reduced brood size
WBGene00020106	R151.1	organism development variant
WBGene00009094	F23H12.5	larval arrest, sick, slow growth, maternal sterile, transgene expression increased
WBGene00012054	T26E4.14	dauer lifespan extended
WBGene00006745	B0273.4	body wall muscle sarcomere morphology variant, axon guidance variant, protein degradation variant, locomotion variant, dendrite development variant
WBGene00001248	F38A6.2	striated muscle morphology variant, levamisole response variant, thrashing reduced, nonstriated muscle morphology variant, lethal, body wall muscle sarcomere morphology variant, egg laying variant, muscle cell morphology variant, frequency body bend reduced
WBGene00020121	R160.4	fat content reduced
WBGene00010979	R02D5.6	dauer lifespan extended
WBGene00015432	C04E12.1	dauer lifespan extended
WBGene00003171	ZK154.3	sterile, locomotion variant, avoids bacterial lawn, RAB-11 recycling endosome localization variant, sterile progeny, small, growth rate variant, breaks in alae, pronuclear migration defective early emb, protruding vulva, sick, larval lethal, slow growth, mitosis variant, level of protein expression variant, lethal, thin, larval arrest, embryonic lethal, transgene subcellular localization variant, transgene expression variant, exploded through vulva, transgene expression increased, distal tip cell migration variant
WBGene00001094	B0464.1	pleiotropic defects severe early emb, sterile, apoptosis reduced, cell differentiation variant, avoids bacterial lawn, oocyte number decreased, nuclei small, gonad morphology variant, rachis narrow, pachytene region organization variant, maternal sterile, pattern of transgene expression variant, diplotene region organization variant, rachis morphology variant, slow growth, sick, lethal, larval arrest, cell membrane organization biogenesis variant, embryonic lethal, gonad vesiculated, oocyte morphology variant, receptor mediated endocytosis defective, nuclear appearance variant, transgene expression increased, germ cell compartment expansion variant
WBGene00018091	F36D4.6	dauer lifespan extended
WBGene00001701	F02D8.2	body vacuole, locomotion variant, intestinal vacuole, everted vulva, small
WBGene00000207	F02E8.1	slow growth, protein aggregation variant, thin, extended life span, larval arrest, embryonic lethal, foraging behavior variant, transgene subcellular localization variant, maternal sterile, transgene expression increased
WBGene00021503	Y40D12A.2	larval arrest, transgene subcellular localization variant, reduced brood size, protein aggregation variant
WBGene00044077	T18H9.7	aldicarb resistant
WBGene00016977	C56G2.1	extended life span, embryonic lethal, sterile F1
WBGene00018261	F41B5.3	cadmium hypersensitive, slow growth, short defecation cycle
WBGene00016389	C34B2.4	high incidence male progeny
WBGene00013255	Y57A10A.10	reduced brood size
WBGene00020983	W03D2.9	dauer lifespan extended
WBGene00000530	E04F6.11	voltage measurement variant, gonad sheath contractions variant, electrophysiology variant
WBGene00021166	Y5H2B.4	fat content increased
WBGene00011050	R06A4.8	embryonic lethal
WBGene00011760	T13H5.6	sterile, larval arrest, transgene subcellular localization variant, cytoplasmic processing body variant, receptor mediated endocytosis defective, pattern of transgene expression variant
WBGene00019564	K09D9.1	cadmium hypersensitive, slow growth
WBGene00002105	M04D8.2	sterile, embryonic lethal, aldicarb resistant
WBGene00001949	M05B5.5	vulval cell induction reduced, hermaphrodite germline proliferation variant, sterile, locomotion variant, organism morphology variant, sterile progeny, linker cell absent, neuron development variant, gonad arm morphology variant, sister cell division timing asynchrony reduced, vulva uterus connection defective, gonad development variant, transgene expression reduced hermaphrodite, late embryonic arrest, uterus morphology variant, multiple anchor cells, vulvaless, distal tip cell morphology variant, transgene expression reduced male, protruding vulva, apoptosis fails to occur, larval lethal, neuron cell body absent misplaced, linker cell migration variant, cell fate specification variant, embryonic lethal, neuronal cell fate specification variant, transgene expression reduced, variable cell division timing, fewer germ cells, distal tip cell migration variant
WBGene00015722	C13A2.5	dauer lifespan extended
WBGene00016170	C27F2.8	locomotion variant, larval lethal, sick, slow growth, small, organism development variant, larval arrest, embryonic lethal, reduced brood size, dumpy
WBGene00006889	T06G6.9	protruding vulva, pronuclear migration reduced early emb, embryonic lethal, pronuclear migration defective early emb, sterile progeny, exploded through vulva, spindle assembly defective early emb
WBGene00012956	Y47H9C.14	slow growth
WBGene00016110	C25G6.5	fewer egg laying events during active
WBGene00004192	ZK809.7	Bacillus thuringiensis toxin hypersensitive, pore forming toxin hypersensitive, slow growth, small, reduced brood size, aldicarb resistant
WBGene00021677	Y48G1C.4	embryonic lethal, sick, sterile progeny
WBGene00011601	T07G12.11	miRNA expression variant, organism morphology variant, lethal, apoptosis increased, synapsis defective, embryonic lethal, transgene subcellular localization variant, antibody subcellular localization variant
WBGene00000105	F48F7.1	retarded seam cell fusion, sterile, mRNA deadenylation variant, cell differentiation variant, locomotion variant, avoids bacterial lawn, small, alae morphology variant, germ cell development variant, alae variant, larval lethal, molt defect, embryonic lethal, pre miRNA processing defective, transgene subcellular localization variant, exploded through vulva, alae absent, retarded heterochronic variations, developmental timing variant, nuclear number variant, clear, breaks in alae, nuclear division variant, excess intestinal cells, cytoplasmic processing body variant, vulva cell fate specification variant, miRNA expression variant, paralyzed, protruding vulva, slow growth, level of protein expression variant, lethal, protein aggregation variant, embryonic arrest, RNA expression variant, excess seam cells, transgene expression variant, transgene expression increased
WBGene00195248	B0334.15	egg laying defective, slow growth
WBGene00018819	F54D12.6	germ cell partition morphology variant, apoptosis reduced, sterile, rachis wide, locomotion variant, organism morphology variant, clear, germ cell compartment multinucleate, pachytene region organization variant, maternal sterile, oocytes disorganized, germ cell compartment size variant, sick, germline nuclear positioning variant, diplotene progression during oogenesis variant, brood size variant, larval arrest, oocyte septum formation variant, cell membrane organization biogenesis variant, embryonic lethal, oocyte morphology variant, reduced brood size, nuclear appearance variant
WBGene00008412	D2030.2	larval arrest, slow growth, receptor mediated endocytosis defective, pattern of transgene expression variant, body wall muscle myosin organization defective
WBGene00017548	F18A1.7	embryonic lethal, dauer lifespan extended
WBGene00018027	F35A5.5	locomotion variant, slow growth
WBGene00001592	F25F8.2	embryonic lethal
WBGene00000403	B0034.3	embryonic lethal
WBGene00022750	ZK484.4	embryonic lethal, sterile progeny
WBGene00020462	T12E12.1	organism oxidative stress resistant
WBGene00010435	JC8.2	late larval arrest
WBGene00004099	C03A7.4	pathogen susceptibility increased, dauer constitutive
WBGene00019744	M02H5.8	dauer lifespan extended
WBGene00005588	D2062.10	fat content reduced, dauer lifespan extended
WBGene00001484	T07D1.4	egg laying variant
WBGene00017241	F08C6.2	cell cycle progression variant, locomotion variant, avoids bacterial lawn, chemical hypersensitive, engulfment variant, organism morphology variant, late larval arrest, foraging behavior variant, body wall muscle morphology variant, organism metabolism processing variant, mRNA levels reduced, organism hypersensitive ionizing radiation, apoptosis fails to occur, slow growth, lethal, lipid composition variant, body wall muscle sarcomere morphology variant, larval arrest, protein degradation variant, transgene subcellular localization variant, germ cell ionizing radiation response variant, reduced brood size, transgene expression increased
WBGene00000906	F23B2.4	egg laying defective
WBGene00009290	F31D4.2	nonsense mRNA accumulation, slow growth, mRNA surveillance defective, larval arrest, embryonic lethal, transgene subcellular localization variant, pattern of transgene expression variant, receptor mediated endocytosis defective, cytoplasmic processing body variant, transgene expression increased
WBGene00000650	ZK1248.2	dumpy
WBGene00018067	F35G8.1	hyperactive egg laying
WBGene00016602	C43E11.2	larval arrest, cell differentiation variant, slow growth, receptor mediated endocytosis defective, pattern of transgene expression variant, body wall muscle myosin organization defective
WBGene00044126	F38E1.12	bivulva, vulva development variant
WBGene00018334	F42A9.5	extended life span, paraquat resistant, long defecation cycle
WBGene00004246	Y48G1BL.3	uptake of yolk defective, protein expression ectopic, nucleolus variant, nuclei small, protein subcellular localization variant, gametogenesis variant, multiple nuclei early emb, oocytes stacked, endomitotic oocytes, oogenesis variant, nuclear positioning variant, egg morphology variant, cytokinesis fails early emb, embryonic arrest, failure to hatch, meiotic progression during oogenesis variant, oocytes small, nuclear appearance variant
WBGene00015478	C05D10.2	larval arrest, embryonic lethal, dauer lifespan extended, reduced brood size
WBGene00013168	Y53F4B.22	locomotion variant, dauer lifespan extended, early endosome localization variant, RAB-11 recycling endosome localization variant, embryonic morphology variant, pronuclear migration defective early emb, pattern of transgene expression variant, larval lethal, slow growth, RAB-11 recycling endosome morphology variant, larval arrest, failure to hatch, late endosome localization variant, embryonic lethal, patchy coloration, transgene subcellular localization variant, transgene expression reduced, reduced brood size, exploded through vulva, receptor mediated endocytosis defective, antibody subcellular localization variant
WBGene00004744	D2013.8	embryonic lethal
WBGene00008386	D1081.8	sterile, spontaneous mutation rate increased, cell proliferation increased, slow embryonic development, excess intestinal cells, multiple nuclei early emb, gonad morphology variant, late embryonic arrest, maternal sterile, germ cell development variant, lysosome-related organelle morphology variant, larval lethal, multiple cytoplasmic cavities early emb, molt defect, RAB-11 recycling endosome morphology variant, embryonic lethal late emb, protein aggregation variant, larval arrest, large cytoplasmic granules early emb, embryonic lethal, exaggerated asynchrony early emb, transgene subcellular localization variant, nuclear envelope assembly variant early emb
WBGene00019466	K07B1.6	larval arrest
WBGene00006382	W04A8.7	sterile, locomotion variant, organism morphology variant, clear, slow embryonic development, late embryonic arrest, pattern of transgene expression variant, dumpy, protruding vulva, sick, slow growth, roller, embryonic lethal late emb, thin, lethal, larval arrest, embryonic lethal, receptor mediated endocytosis defective, reduced brood size
WBGene00008158	C47F8.2	transgene expression increased
WBGene00015974	C18E3.5	egg laying variant, excess intestinal cells, sick, cell proliferation increased
WBGene00004502	F29G9.5	avoids bacterial lawn, slow growth, embryo osmotic pressure sensitive early emb, one cell arrest early emb, embryonic lethal, protein degradation variant, shortened life span, maternal sterile, passage through meiosis defective early emb, protein secretion variant
WBGene00009915	F52A8.1	nuclear positioning variant, body wall muscle myosin organization defective
WBGene00008666	F10G8.8	dauer lifespan extended
WBGene00003939	F27E5.2	protruding vulva, locomotion variant, larval lethal, sterile progeny, organism morphology variant, lethal, organism development variant, egg laying variant, larval arrest, embryonic lethal, muscle detached, exploded through vulva
WBGene00017763	F23H11.9	fat content reduced
WBGene00017068	D2092.8	late larval arrest
WBGene00004206	M03F8.2	axon branching variant, transgene expression increased
WBGene00012193	W02A11.2	organism development variant
WBGene00015961	C18B10.4	dauer lifespan extended
WBGene00006215	T01G5.5	transgene subcellular localization variant, RAB-11 recycling endosome morphology variant
WBGene00022363	Y92H12BL.1	nonsense mRNA accumulation, sterile progeny, organism development variant, extended life span, mRNA surveillance defective, cytoplasmic processing body variant, transgene induced cosuppression variant, protruding vulva, slow growth, sick, early larval arrest, larval arrest, embryonic lethal, patchy coloration, transgene subcellular localization variant, transgene expression increased, distal tip cell migration variant
WBGene00006716	C06E2.3	transgene subcellular localization variant, protein aggregation variant
WBGene00015219	B0507.2	dauer lifespan extended
WBGene00000161	T20B5.1	paralyzed, locomotion variant, slow growth, accumulated germline cell corpses, protein aggregation variant, lethal, aldicarb resistant, clear, embryonic lethal, transgene subcellular localization variant, reduced brood size
WBGene00019353	K03B4.1	protruding vulva, sick, slow growth, growth rate variant, lethal, larval arrest, embryonic lethal, transgene subcellular localization variant, pattern of transgene expression variant, receptor mediated endocytosis defective, reduced brood size
WBGene00001834	C53A5.3	sterile, male gonad development variant, ventral closure defective, apoptosis increased, gonad development variant, vulval cell induction variant, pattern of transgene expression variant, maternal sterile, cell polarity variant, protein acetylation variant, ectopic expression transgene, embryonic lethal, transgene subcellular localization variant, receptor mediated endocytosis defective, reduced brood size, spontaneous mutation rate increased, pharynx unattached, sterile progeny, chromosome segregation variant karyomeres early emb, organism development variant, protein subcellular localization variant, peptide uptake by intestinal cell decreased, male somatic gonad development variant, cytoplasmic processing body variant, mRNA levels increased, vulva cell fate specification variant, protruding vulva, somatic gonad development variant, pharyngeal morphology variant, rays displaced, multivulva, rays missing, intestinal development variant, epithelial development variant, embryonic arrest, larval arrest, transgene expression increased
WBGene00013029	Y49E10.2	embryonic lethal, long, slow growth, early larval arrest, clear
WBGene00000739	T07H6.3	locomotion variant, slow growth, organism morphology variant
WBGene00011575	T07C12.11	fat content reduced, transgene expression reduced
WBGene00008452	E02A10.1	larval arrest, embryonic lethal, slow growth, receptor mediated endocytosis defective, pattern of transgene expression variant, reduced brood size
WBGene00005790	F14F8.5	Bacillus thuringiensis toxin hypersensitive, pore forming toxin hypersensitive
WBGene00001647	T23G11.2	germ cell partition morphology variant, cleavage furrow defective early emb, early embryonic lethal, sterile, rachis wide, avoids bacterial lawn, cytokinesis defective early emb, germ cell compartment morphology variant, protein subcellular localization variant, multiple nuclei early emb, embryo osmotic integrity defective early emb, cytokinesis variant emb, maternal sterile, germ cell compartment size variant, slow growth, sick, protein expression reduced, lethal, germline nuclear positioning variant, oocyte septum formation variant, cell membrane organization biogenesis variant, embryonic lethal, oocyte morphology variant, reduced brood size
WBGene00010293	F59A1.7	meiosis variant, univalent meiotic chromosomes, high incidence male progeny
WBGene00012485	Y18D10A.18	Bacillus thuringiensis toxin hypersensitive, pore forming toxin hypersensitive, shortened life span
WBGene00021352	Y37E3.11	protruding vulva, sick, slow growth, C lineage variant, sterile progeny, protein subcellular localization variant, larval arrest, failure to hatch, embryonic lethal, gene expression variant
WBGene00004873	Y47D3A.26	sterile, male gonad development variant, locomotion variant, sterile progeny, gonad development variant, chromosome segregation variant, male somatic gonad development variant, pattern of transgene expression variant, maternal sterile, protruding vulva, slow growth, linker cell migration variant, blistered, embryonic lethal, exploded through vulva, receptor mediated endocytosis defective, adult lethal
WBGene00002033	Y73B6BL.2	embryonic lethal, meiotic sister chromatid segregation variant, high incidence male progeny
WBGene00185067	Y54G11A.17	slow growth, receptor mediated endocytosis defective, pattern of transgene expression variant, organism development variant, clear
WBGene00020110	R151.7	unfolded protein response variant, transgene subcellular localization variant, transgene expression increased, organism development variant
WBGene00015094	B0261.6	extended life span, organism heat response variant, translation variant
WBGene00004463	F49C12.8	sterile, male gonad development variant, avoids bacterial lawn, apoptosis increased, gonad development variant, one cell arrest early emb, chromosome condensation variant, pattern of transgene expression variant, maternal sterile, diplotene region organization variant, germ cell development variant, embryo osmotic pressure sensitive early emb, sick, larval lethal, accumulated germline cell corpses, molt defect, cell membrane organization biogenesis variant, embryonic lethal, gonad vesiculated, oocyte morphology variant, transgene subcellular localization variant, nuclear appearance variant, passage through meiosis defective early emb, oocytes lack nucleus, nuclei small, germ cell compartment morphology variant, rachis narrow, male somatic gonad development variant, germ cell compartment multinucleate, organism hypertonic lethality increased, rachis morphology variant, germ cell compartment size variant, slow growth, protein aggregation variant, germ cell compartment anucleate, shortened life span, oocytes small, transgene expression increased, rachis absent, germ cell compartment expansion variant
WBGene00009456	F36A2.9	pattern of transgene expression variant
WBGene00000457	C37E2.4	transgene expression increased
